Image_Name,Method,Tile_Size,Clip_Limit,Entropy,StdDev,SSIM,Bhattacharyya,LCV
D2.jpg,CLAHE,8,4,7.32525859695396,0.221433168279208,0.374474065070001,0.608679781415949,0.0040024266694144
D2.jpg,CLAHE,8,6,7.53206537843722,0.231852293044679,0.280458449199937,0.659563135549121,0.00513728927713632
D2.jpg,CLAHE,8,8,7.64842794439241,0.233915797612335,0.227699349674344,0.70111415287556,0.00588770386458575
D2.jpg,CLAHE,16,2,6.74566697305349,0.163796285369641,0.555167644197852,0.538677890089984,0.00228380740604096
D2.jpg,CLAHE,16,4,7.22384250651929,0.203888253056493,0.350642752905522,0.622212784782789,0.00475089334332831
D2.jpg,CLAHE,16,6,7.45657182006626,0.219423203920801,0.253407579679695,0.670960977448575,0.0066414946955368
D2.jpg,CLAHE,16,8,7.57923240019123,0.225524156288747,0.199316003499436,0.708195189416289,0.00807633121863712
D2.jpg,CLAHE,32,2,6.72699293137033,0.160410736556856,0.488718503371876,0.604079006337451,0.00301056226626336
D2.jpg,CLAHE,32,4,7.04313012711109,0.186334871351363,0.326298450930658,0.653666554830044,0.00555572856796856
D2.jpg,CLAHE,32,6,7.30940741244934,0.202812511409632,0.22403229827143,0.700213927516597,0.00820656727289845
D2.jpg,CLAHE,32,8,7.44044811901568,0.210212482944932,0.176049584073505,0.729383294277695,0.0100112340587152
D3.jpg,CLAHE,0,0,5.85295979770072,0.0719738701923316,1,0,0.000364447213621685
D3.jpg,CLAHE,8,2,7.3480837692879,0.168235403551989,0.538691375360345,0.56597226255939,0.00559561220331877
D3.jpg,CLAHE,8,4,7.65608604161132,0.203289704452329,0.359213560403675,0.630529111376494,0.00992737890922297
D3.jpg,CLAHE,8,6,7.77049419955875,0.218181494985996,0.273279659217073,0.667975978907904,0.0125987445136291
D3.jpg,CLAHE,8,8,7.82576268061892,0.226544626922452,0.227392318224781,0.697021811527768,0.0144517173591812
D3.jpg,CLAHE,16,2,7.2577441874546,0.15731580878061,0.530597857421538,0.550531104273832,0.00583902687022742
D3.jpg,CLAHE,16,4,7.56900214546347,0.192323732008968,0.341422975770224,0.619836435088451,0.011083262666327
D3.jpg,CLAHE,16,6,7.68687953948417,0.206082842869406,0.254662079497844,0.663820160282101,0.0142813754248536
D3.jpg,CLAHE,16,8,7.75081548954369,0.213795445777254,0.205753928450121,0.693780180684516,0.0166557683942352
D3.jpg,CLAHE,32,2,7.25717255746059,0.154255683800214,0.462910799571531,0.574584408072456,0.00722713740248139
D3.jpg,CLAHE,32,4,7.50129930343518,0.17993636782084,0.3155289464796,0.641359099622959,0.0120113607785997
D3.jpg,CLAHE,32,6,7.63419419192844,0.19498750354666,0.226625372291716,0.688758317815993,0.0161863980502355
D3.jpg,CLAHE,32,8,7.69500059725993,0.20240589934653,0.184833289940146,0.714753084097521,0.0188042006776194
D4.jpg,CLAHE,0,0,5.55192045376463,0.0495989091794227,1,0,0.000504131656389553
D4.jpg,CLAHE,8,2,7.47822427115041,0.178365301581007,0.362659969693164,0.673331463399167,0.012592357388844
D4.jpg,CLAHE,8,4,7.84355702281931,0.236835489225785,0.217273916136409,0.709323221574547,0.0267898941635195
